Bildnummer,Y Koordinate,X Koordinate,Bildbeschreibung *,Legende DE **,Legende FR **,Legende IT **,Legende EN **,Map.geo.admin.ch link,Kommentar
14093_0799,587367.5,249515.5,Panorama von Pkt. 875 aus bei les Mermets dessus,"Ein Blick Richtung Norden, zum Glaserberg im Elsass. Das Panorama bietet sich bei les Mermets dessus in der Nähe von Bourrignon vom Punkt 875 aus. Während des „Aktivdienstes 1914-1918“ bezog die Armee viele solche Aussichtspunkte, um die Aktivitäten im Grenzbereich im Auge zu behalten.","Vue vers le nord en direction du Glaserberg en Alsace. Ce panorama peut être vu aux Mermets-Dessus près de Bourrignon depuis le point 875. Durant le ""service actif 1914-1918"", l'armée a occupé plusieurs points d'observation similaires afin de surveiller les activités dans les zones frontalières.","Vista verso nord in direzione del Glaserberg in Alsazia. Questo panorama può essere visto da Mermets-Dessus presso Bourrignon dal punto 875. Durante il ""servizio attivo 1914-1918"", l'esercito ha occupato diversi punti simili per la sorveglianza delle attività nelle zone frontaliere.","Looking north towards the Glaserberg in Alsace. This panorama can be seen at Les Mermets-Dessus near Bourrignon from point 875. During “active service 1914-1918"", the army occupied many such lookout points in order to monitor activities in the border area.",Prüflink,Kote 875 stimmt exakt
14094_2592,749042,152430,"Offizierspatrouille. Blick auf den Surettagletscher, nach dem Rheinwald- und Tödigebiet","„Aktivdienst 1914-1918“: Eine gut ausgerüstete Dreier-Patrouille womöglich der Gebirgsinfanterie der Schweizer Armee macht Rast auf dem Piz Por und blickt auf den Surettagletscher, das Rheinwaldgebiet sowie auf den Tödi. Das Bild des unbekannten Fotografen besticht durch seine ästhetische Komposition: Die Ausrichtung der Gewehre auf den Rücken der Soldaten wiederholt die Linien im Panorama der Berge und die Blicke der Soldaten kreuzen sich in Richtung der Täler.","""Service actif 1914-1918"". Une patrouille de trois hommes bien équipée, probablement issue de l'infanterie de montagne de l'armée suisse, faisant une halte sur Piz Por et scrutant le glacier de Suretta, la région de Rheinwald et Tödi. Cette image, d'un photographe inconnu, met en avant une composition esthétique frappante: l'orientation des fusils dans le dos des soldats font écho aux lignes du panorama montagneux, pendant que les soldats contemplent ensemble les vallées.","""Servizio attivo 1914-1918"". Una pattuglia di tre uomini ben equipaggiati, probabilmente della fanteria di montagna dell'esercito svizzero, durante una sosta sul Piz Por e mentre ammirano il ghiacciaio di Suretta, la regione Rheinwald e Tödi. L'immagine, scattata da un fotografo sconosciuto, presenta una composizione estetica suggestiva: la disposizione dei fucili sulle spalle dei soldati fa eco alle linee del panorama montano, mentre i soldati contemplano l'insieme delle vallate.","“Active service 1914-1918”: A well-equipped three-man patrol, possibly from the Swiss Army’s mountain infantry, making a halt on Piz Por and looking out on the Suretta Glacier, the Rheinwald area and Tödi. The image, by an unknown photographer, exhibits a strikingly aesthetic composition: the orientation of the rifles on the soldiers’ backs echoes the lines of the mountain panorama, while the soldiers gaze together out towards the valleys.",Prüflink,Standort mittels PeakFinder
14094_2760,624173.3,90166.4,"Patrouille im Matterhorngebiet, Blick auf den Monte Rosa Gletscher","„Aktivdienst 1914 – 1918“. Rast bei einer anstrengenden Patrouille im Matterhorngebiet. Wohl auf Wunsch des Fotografen blicken die drei Soldaten in die gleiche Richtung. Allerdings nicht zum markanten Riffelhorn, welches es ermöglicht, den Standort der Aufnahme festzumachen: Der Fotograf hat in der Triftji abgedrückt. Sein Blick geht  auf den Monte Rosa Gletscher.","""Service actif 1914-1918"". Halte lors d'une patrouille intensive dans la région du Cervin. Il est probable, qu'à la demande du photographe, les trois soldats regardent dans la même direction, mais pas vers la partie visible de la Riffelhorn, ce qui nous permet de repérer la position de la prise de vue: en fait, elle a été réalisée dans le Triftji. Le photographe regarde en direction du glacier Monte Rosa.","""Servizio attivo 1914-1918."" Sosta durante un pattugliamento intensivo nell'area del Cervino. Probabilmente, su richiesta del fotografo, i tre soldati guardano nella stessa direzione, ma non verso la parte visibile del Riffelhorn, il che ci permette di individuare la posizione della ripresa che, infatti, è stata realizzata sul Triftji. Il fotografo guarda verso il ghiacciaio del Monte Rosa.","“Active service 1914-1918”: Halt during a strenuous patrol in the Matterhorn region. Probably at the photographer’s request, the three soldiers are looking in the same direction, though not towards the conspicuous shape of the Riffelhorn, which enables us to pinpoint the location of the picture: it was actually taken in the Triftji. The photographer is looking towards the Monte Rosa Glacier.",Prüflink,AdS3 über Riffelhorn > 2861 Lichenbretter > 2678 Trifji
14094_5724,576674.5,104477,Panorama von Pazroud,"Diese eindrückliche Aufnahme zeigt das tief eingeschnittene Tal der Drance, die bei Martigny in das Walliser Haupttal mündet. Die Aufnahme wurde bei Pazrond unterhalb der 1800 Meter hohen Crevasse gemacht. Der Blick streift dem Armanet entlang Richtung Sembracher, wo das Val de Bagnes und das Val d’Entremont zusammenkommen.",Cette image frappante montre la vallée encaissée de la Drance qui débouche sur la vallée centrale du Valais près de Martigny. Elle a été prise à Pazrond sous la Crevasse s'élevant à 1800 mètres. La vue s'étend le long de l'Armanet en direction de Sembrancher où le Val de Bagnes rejoint le Val d'Entremont.,"Questa immagine suggestiva mostra la profonda valle della Dranse, che porta alla valle centrale del Vallese nei pressi di Martigny. L'immagine è stata ripresa a Pazrond, sotto la Crevasse, alta 1800 metri. La vista si estende lungo l'Armanet verso Sembrancher, dove la Valle di Bagnes raggiunge la Val d'Entremont.","This striking image shows the deep valley of the Drance, which opens into the main valley of Valais near Martigny. It was taken at Pazrond, beneath the 1,800-metre-high crevasse. The view extends along the Armanet towards Sembracher, where the Val de Bagnes and the Val d’Entremont meet.",Prüflink,Pazroud = Pazrond; Standort etwa bei Punkt 1771
14095_0066,607373,267199,Barrikaden am Zollposten Hegenheimerstrasse [in Allschwil],Im Ersten Weltkrieg war Basel eine strategisch wichtige Stadt insbesondere im Stellungskrieg zwischen Deutschen und Franzosen. Demgegenüber machen diese Barrikaden am Zollposten Hegenheimerstrasse in Allschwil bei Basel einen etwas improvisierten Eindruck. ,"Pendant la première guerre mondiale, Bâle était une ville stratégiquement importante, surtout par sa position dans le conflit entre les troupes allemandes et françaises. Par contraste, ces barricades au poste frontière de Hegenheimerstrasse, à Allschwil près de Bâle, semble quelque peu improvisé.","Durante la prima guerra mondiale, Basilea era una città di importanza strategica, soprattutto per la sua posizione nel conflitto tra le truppe tedesche e francesi. Per contro, le barricate del valico di frontiera di Hegenheimerstrasse a Allschwil, vicino a Basilea, appaiono un po' improvvisate.","During the First World War, Basel was a strategically important city, particularly in the positional warfare between German and French troops. By contrast, these barricades at the Hegenheimerstrasse customs post in Allschwil near Basel appear somewhat improvised.",Prüflink,Verortung durch BAR; ST: bitte prüfen
14095_1275,600666,199585,Artillerie reitet durch die Altstadt [von Bern],Artillerie reitet durch die Altstadt lautet die überlieferte Beschreibung dieses Bildes. Gemeint ist die Altstadt von Bern. Das Foto zeigt den Eingang zur Amtshausgasse (rechts). Unter dem Gebäude links befindet sich heute das Casino Parking.,"""Artillerie traversant la vieille ville"" est le titre donné à cette image. La vieille ville en question est celle de Berne. La photographie montre l'entrée à Amsthausgasse (à droite). Sous le bâtiment se trouvant sur la droite se trouve aujourd'hui le Parking Casino.","""Artiglieria attraverso il centro storico"" è il titolo dato a questa immagine. Il centro storico in questione è quello di Berna. La fotografia mostra l'ingresso alla Amsthausgasse (a destra). Sotto l'edificio situato sulla destra si trova oggi il parcheggio Casinò.",“Artillery riding through the old town” is the recorded title of this image. The old town in question is in Bern. The photo shows the entrance to Amtshausgasse (right). Beneath the building to the right is now the Casino Parking.,Prüflink,Verortung durch BAR
14095_1752,538190,152549,Defilee von Truppen durch die Strassen von Lausanne,"Während des sogenannten ""Aktivdienstes 1914-1918"" fanden in zahlreichen Schweizer Städten Defilees statt. Hier der Durchmarsch von Truppen durch die Strassen von Lausanne.","Durant la période nommée ""service actif 1914-1918"", des défilés ont eu lieu dans plusieurs villes suisses. Ici, nous voyons des troupes marchant dans les rues de Lausanne.","Durante il periodo noto come ""servizio attivo 1914-1918"", varie sfilate si sono svolte in diverse città svizzere. Qui vediamo le truppe che marciano per le strade di Losanna.","During the so-called “active service 1914-1918”, parades were held in many Swiss towns. Here we see troops marching through the streets of Lausanne.",Prüflink,Verortung durch BAR nicht eindeutig; ST: bitte prüfen
14095_1926,593561,245784,Infanterie steigt [in Delsberg] in Eisenbahnwagen ein,"Während des ""Aktivdienstes"", wie der Erste Weltkrieg in der Schweiz oft genannt wurde, spielten die schweizerischen Eisenbahnen eine wichtige Rolle für die Verschiebung der Truppen. Hier steigen Angehörige der Infanterie am Bahnhof in Delsberg in Eisenbahnwagen ein.","Pendant le ""service actif"" - terme souvent utilisé en Suisse pour signifier la période de la première guerre mondiale - les chemins de fer suisses ont joué un rôle important dans le déplacement des troupes. Ici, des soldats d'infanterie en train de monter dans des wagons à la station de Delémont.","Durante il ""servizio attivo"" - un termine spesso usato in Svizzera per indicare il periodo della prima guerra mondiale - le ferrovie svizzere hanno svolto un ruolo importante per gli spostamenti delle truppe. Qui soldati di fanteria alla stazione di Delémont.","During the “active service” – the term often used in Switzerland to denote the First World War period – the Swiss railways played an important role in moving troops around. Here, infantry soldiers are seen boarding railway carriages at the station in Delsberg.",Prüflink,Verortung durch BAR
14095_2294,724130.5,119435.5,Waschen der Pferde am Fluss [in Arbedo],"Die Idylle trügt: Auch hier handelt es sich um eine Aufnahme aus dem ""Aktivdienst 1914-1918"". Soldaten tränken ihre Pferde an der alten Brücke über die Traversagna. Heute ist die vom Fotografen sorgfältig ausgesuchte Stelle kaum wieder zu erkennen.","L'idylle apparente est trompeuse: il s'agit également  d'une image du ""service actif 1914-1918"". Des soldats raffraichissent et nettoient leurs chevaux vers le vieux pont de Traversagna. Aujourd'hui, l'endroit soigneusement choisi par le photographe, est presque méconnaissable.","L'idillio apparente è ingannevole: si tratta di un'immagine del ""servizio attivo 1914-1918."" Soldati mentre rinfrescano e puliscono i propri cavalli al ponte vecchio di Traversagna. Oggi il luogo, scelto con cura da parte del fotografo, è quasi irriconoscibile.","The apparent idyll is deceptive: this too is an image of the “active service 1914-1918”. Soldiers are watering their horses at the old bridge over the Traversagna. Today, the location carefully selected by the photographer is almost unrecognisable.",Prüflink,alte Brücke an der La Traversagna
14095_3158,716719.9,109607.8,Bau von Verteidigungsanlagen. Hintergrund: Piz Camoglie und Pkt. 1050,"Auf diesem Bild befestigen Soldaten der Schweizer Armee im Tessin die Grenze zu Italien. Der steile Abhang liegt zwischen Cima di Meglia und Motto Rotondo, ca. 1 km von der Grenze entfernt. Der Blick geht auf den 2'200 hohen Camoghe über der Magadinoebene.","Sur cette image, on voit des soldats de l'armée suisse fortifiant la frontière avec l'Italie au Tessin. La partie raide de la montagne se situe entre Cima di Meglia et Motto Rotondo, approximativement à 1 km de la frontière. La vue s'étend jusqu'au Camoghe, de 2200 mètres d'altitude, en-dessus de la plaine de Magadino.","In questa immagine, vediamo i soldati dell'esercito svizzero fortificare il confine con l'Italia in Ticino. La parte più ripida della montagna è tra Cima di Meglia e Motto Rotondo, a circa 1 km dal confine. La vista si estende fino a Camoghe, a 2200 metri, al di sopra della piana di Magadino.","On this image, soldiers from the Swiss Army are seen fortifying the border to Italy in Ticino. The steep mountainside is between Cima di Meglia and Motto Rotondo, around 1 km from the frontier. The view extends up to the 2,200-metre-high Camoghe above the Magadino Plain.",Prüflink,"""Camoglie"" wahrscheinlich Camoghe: Standort zwischen Cima di Meglia und Motto Rotondo"
